Added,Total Time,Time Taken
350000,493.899796,2.580239
351000,496.476885,2.577079
352000,499.014794,2.537899
353000,501.595158,2.580354
354000,504.174966,2.579798
355000,506.761252,2.586276
356000,509.352014,2.590753
357000,511.944004,2.591981
358000,514.551289,2.607275
359000,517.185327,2.634027
360000,519.931547,2.746211
361000,522.589317,2.657759
362000,525.225364,2.636037
363000,527.857402,2.632027
364000,530.549187,2.691775
365000,533.553961,3.004763
366000,536.530733,2.976763
367000,539.583522,3.052779
368000,542.313633,2.730099
369000,545.038606,2.724963
370000,547.772553,2.733935
371000,550.577567,2.805003
372000,553.412646,2.835068
373000,556.340484,2.927828
374000,559.175639,2.835145
375000,562.244543,3.068895
376000,565.280518,3.035964
377000,568.180578,2.900049
378000,571.391509,3.210921
379000,574.179302,2.787784
380000,576.900375,2.721063
381000,579.683411,2.783026
382000,582.434763,2.751336
383000,585.297615,2.862840
384000,588.279701,2.982076
385000,591.259838,2.980128
386000,594.067312,2.807463
387000,596.918099,2.850776
388000,599.828825,2.910715
389000,602.684249,2.855413
390000,605.543399,2.859139
391000,608.383413,2.840001
392000,611.537312,3.153888
393000,614.444955,2.907632
394000,617.340019,2.895054
395000,620.261389,2.921361
396000,623.241756,2.980356
397000,626.424558,3.182791
398000,629.489233,3.064661
399000,632.437889,2.948646
400000,635.424869,2.986970
401000,638.375272,2.950393
402000,641.398003,3.022721
403000,644.504879,3.106866
404000,647.509710,3.004823
405000,650.482433,2.972713
406000,653.572117,3.089675
407000,656.578034,3.005907
408000,659.630569,3.052525
409000,662.643660,3.013082
410000,665.664396,3.020725
411000,668.689306,3.024900
412000,671.730197,3.040882
413000,674.739314,3.009108
414000,677.773346,3.034022
415000,680.946032,3.172676
416000,684.105129,3.159087
417000,687.548929,3.443791
418000,690.763359,3.214421
419000,693.948070,3.184701
420000,697.136221,3.188141
421000,700.269519,3.133287
422000,703.375708,3.106177
423000,706.458493,3.082774
424000,709.569838,3.111335
425000,712.672953,3.103106
426000,715.848588,3.175624
427000,719.111643,3.263045
428000,722.298670,3.187016
